what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1354940454690
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1354940454691
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1354940454691
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1354940454692
os,sysinfo,,,"macosx",1354940454696
arch,sysinfo,,,"x86_64",1354940454696
ws,sysinfo,,,"cocoa",1354940454696
locale,sysinfo,,,"en_US",1354940454696
processors,sysinfo,,,"2",1354940454696
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1354940454696
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1354940454696
java.specification.name,sysinfo,,,"Java Platform API Specification",1354940454696
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1354940454696
java.specification.version,sysinfo,,,"1.6",1354940454696
java.vendor,sysinfo,,,"Apple Inc.",1354940454696
java.version,sysinfo,,,"1.6.0_37",1354940454696
java.vm.info,sysinfo,,,"mixed mode",1354940454696
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1354940454696
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1354940454696
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1354940454696
java.vm.specification.version,sysinfo,,,"1.0",1354940454696
java.vm.vendor,sysinfo,,,"Apple Inc.",1354940454696
java.vm.version,sysinfo,,,"20.12-b01-434",1354940454696
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1354940454836
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1354940454866
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1354940454880
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1354940454885
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1354940454894
started,bundle,org.eclipse.mtj.core.hooks,1.0.0.201110240906,"org.eclipse.mtj.core.hooks",1354940454903
started,bundle,org.eclipse.mtj.core,1.2.2.201110240906,"org.eclipse.mtj.core",1354940454908
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1354940455064
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1354940456962
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1354940457662
started,bundle,org.eclipse.dltk.core,2.0.0.v20100603-0936,"org.eclipse.dltk.core",1354940457943
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100524-0038,"org.eclipse.dltk.launching",1354940457969
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1354940457974
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354940459312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940465825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940472641
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354940472690
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354940472987
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1354940473100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940475165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354940482448
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1354940482567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354940482567
